Cholera,COVID-19,Ebola,Swine Flu,SARS,Measles,Measles,Cholera,Cholera,Ebola,Swine Flu,Meningitis,MERS
3526,5429,235,1197,682,308,272,128,94,136,1681,1047,1
3539,5833,239,1261,689,317,276,171,94,138,1721,1055,1
3551,6519,244,1326,696,326,279,193,94,139,1761,1063,1
3564,7161,248,1390,710,334,283,257,95,142,1801,1070,1
3577,7978,253,1402,725,343,287,278,95,146,1841,1076,1
3590,8951,270,1414,735,352,291,300,95,150,1868,1082,1
3603,10030,279,1463,745,361,294,321,96,153,1895,1087,1
3616,11386,289,1511,750,370,298,321,96,154,1924,1091,1
3629,13011,298,1567,754,380,302,343,96,155,1950,1094,1
3642,14640,308,1624,764,389,305,343,97,158,1973,1097,1
3654,16514,317,1680,767,399,309,343,97,161,1992,1098,1
3667,18895,327,1692,770,408,313,364,97,164,2007,1100,1
3680,21283,337,1704,772,418,317,364,97,167,2019,1100,1
3693,24074,337,1729,772,428,320,364,97,170,2028,1100,1
3706,27345,337,1753,775,438,324,385,98,172,2033,1100,1
3719,30863,337,1827,779,448,328,385,98,174,2035,1100,1
3732,34067,337,1908,780,458,332,385,98,176,2035,1100,1
3745,37776,337,1994,782,469,335,428,98,179,2035,1100,1
3757,42313,338,2087,784,479,339,471,98,181,2035,1100,1
3770,47203,354,2185,789,490,343,514,98,184,2035,1100,1
3783,53182,370,2289,789,501,346,557,99,186,2035,1100,1
3796,58897,386,2400,790,511,350,557,99,186,2035,1100,1
3809,64696,402,2516,792,522,354,578,99,186,2035,1100,1
3822,69433,418,2638,794,533,358,578,99,190,2035,1100,1
3835,74663,434,2766,796,544,361,599,99,194,2035,1100,1
3848,82046,450,2900,799,556,365,599,99,197,2035,1100,1
3860,88460,467,3040,799,567,369,621,99,201,2035,1100,1
3873,95693,469,3186,801,579,373,706,99,205,2035,1100,1
3886,102688,472,3338,804,590,376,728,99,207,2035,1100,1
3899,108780,475,3496,804,602,380,749,99,209,2035,1100,1
3957,114197,478,3660,804,614,384,771,99,210,2035,1100,1
4015,119618,481,3830,804,626,387,792,99,211,2035,1100,1
4073,130379,518,4006,805,638,391,813,99,212,2035,1100,1
4131,138474,521,4188,807,650,395,878,99,213,2035,1100,1
4145,145470,525,4375,808,663,399,899,99,214,2035,1100,1
4159,153614,528,4569,809,675,402,920,99,215,2035,1100,1
4173,160047,532,4769,810,688,406,942,100,215,2035,1100,1
4186,165031,535,4974,810,700,410,985,100,216,2035,1100,1
4200,170397,539,5186,810,713,413,1049,100,216,2035,1100,1
4214,177459,570,5409,811,726,417,1070,100,217,2035,1100,1
4228,,601,5632,812,739,421,1113,100,226,2035,1100,1
4242,,607,5854,812,752,425,1156,100,236,2035,1100,1
4256,,613,6077,812,765,428,1220,100,238,2035,1100,1
4270,,619,6300,812,779,432,1242,100,239,2035,1100,1
4284,,625,6523,812,792,436,1284,100,241,2035,1100,1
4297,,632,6745,812,806,440,1306,100,244,2035,1100,1
4311,,641,6968,812,819,443,1327,101,248,2035,1100,1
4325,,650,7191,812,833,447,1349,101,252,2035,1100,1
4339,,660,7414,812,847,451,1391,101,255,2035,1100,1
4353,,663,7637,812,861,454,1413,101,259,2035,1100,1
4367,,666,7859,813,875,458,1434,101,264,2035,1100,1
4381,,669,8082,813,890,462,1477,101,268,2035,1100,1
4395,,672,8305,813,904,466,1499,101,272,2035,1100,1
4408,,690,8528,813,919,469,1520,101,276,2035,1100,1
4422,,709,8750,813,933,473,1541,101,279,2035,1100,1
4436,,728,8973,813,948,477,1563,101,283,2035,1100,1
4450,,760,9196,813,963,481,1606,102,285,2035,1100,1
4464,,792,9419,813,978,484,1627,102,287,2035,1100,1
4478,,825,9642,813,993,488,1648,102,289,2035,1100,1
4492,,886,9864,813,1008,492,1670,102,295,2035,1100,1
4506,,904,10886,813,1024,495,1755,102,301,2035,1100,1
4519,,922,11907,813,1039,499,1777,102,307,2035,1100,1
4533,,940,12929,813,1055,503,1820,102,313,2035,1100,1
4547,,959,13950,813,1070,507,1862,102,318,2035,1100,1
4561,,972,14571,813,1086,510,1905,102,323,2035,1100,1
4575,,985,15191,813,1102,514,1927,102,328,2035,1100,1
4589,,998,15812,813,1118,518,1948,103,332,2035,1100,1
4603,,1011,16432,813,1134,522,2012,103,337,2035,1100,1
4617,,1066,17053,813,1150,525,2077,103,342,2035,1100,1
4630,,1071,17674,813,1167,529,2141,103,347,2035,1100,1
4644,,1076,18256,813,1183,533,2184,103,349,2035,1100,1
4658,,1113,18837,813,1200,536,2248,103,351,2035,1100,1
4672,,1150,19419,813,1217,540,2312,103,353,2035,1100,1
4683,,1187,20001,813,1234,544,2398,103,355,2035,1100,1
4694,,1225,20583,813,1250,548,2462,103,357,2035,1100,1
4704,,1285,21165,813,1268,551,2526,103,359,2035,1100,1
4715,,1346,21747,813,1285,555,2569,103,361,2035,1100,1
4726,,1422,22214,813,1302,559,2633,103,363,2035,1100,1
4737,,1442,22681,813,1319,562,2676,103,365,2035,1100,1
4748,,1463,23147,813,1337,566,2697,103,367,2035,1100,1
4759,,1484,23614,813,1355,570,2762,103,368,2035,1100,1
4769,,1504,24080,813,1372,574,2826,104,370,2035,1100,1
4780,,1525,24547,813,1390,577,2890,104,372,2035,1100,1
4791,,1546,25014,813,1408,581,2954,104,374,2035,1100,1
4802,,1607,25480,813,1426,585,2976,105,376,2035,1100,1
4813,,1668,25947,813,1445,589,3018,105,379,2035,1100,1
4824,,1729,26414,813,1463,592,3040,106,381,2035,1100,1
4834,,1790,27540,813,1481,596,3061,106,383,2035,1100,1
4845,,1852,28666,813,1500,600,3104,106,385,2035,1100,1
4856,,1913,29791,813,1519,603,3126,107,388,2035,1100,1
4863,,1974,30917,813,1538,607,3168,107,390,2035,1100,1
4870,,2035,32043,813,1557,611,3211,107,394,2035,1100,1
4877,,2097,33169,813,1576,615,3275,108,397,2035,1100,1
4884,,2192,34295,813,1596,618,3318,108,401,2035,1100,1
4890,,2288,34931,813,1615,622,3340,108,405,2035,1100,1
4897,,2288,35566,813,1634,626,3404,109,409,2035,1100,1
4904,,2288,36202,813,1653,630,3447,109,412,2035,1100,1
4911,,2288,36837,813,1672,633,3489,109,416,2035,1100,1
4918,,2288,37473,813,1691,637,3511,110,422,2035,1100,1
4925,,2329,38108,813,1710,641,3532,110,428,2035,1100,1
4932,,2370,38744,813,1729,644,3575,110,434,2035,1100,1
4939,,2411,39229,813,1749,648,3596,111,441,2035,1100,1
4945,,2453,39715,813,1768,652,3639,111,447,2035,1100,1
4952,,2537,40200,813,1787,656,3661,111,453,2035,1100,1
4959,,2622,40685,813,1806,659,3661,112,459,2035,1100,1
4966,,2667,41170,813,1825,663,3682,112,462,2035,1100,1
4973,,2712,41656,813,1844,667,3725,112,465,2035,1100,1
4980,,2757,42141,813,1863,671,3746,113,468,2035,1100,1
4987,,2803,42885,813,1882,674,3768,113,472,2035,1100,1
4994,,2856,43629,813,1901,678,3811,113,475,2035,1100,1
5000,,2909,44374,813,1921,682,3832,114,478,2035,1100,1
5007,,2996,45118,813,1940,685,3841,114,481,2035,1100,1
5014,,3083,45862,813,1959,689,3850,114,484,2035,1100,1
5021,,3132,46607,813,1978,693,3859,114,487,2035,1100,1
5028,,3181,47351,813,1997,697,3867,115,491,2035,1100,1
5035,,3231,47681,813,2016,700,3876,115,494,2035,1100,1
5042,,3280,48011,813,2035,704,3884,115,497,2035,1100,1
5049,,3330,48341,813,2054,708,3892,116,500,2035,1100,1
5056,,3380,48670,813,2074,711,3900,116,504,2035,1100,1
5062,,3431,49000,813,2093,715,3908,116,507,2035,1100,1
5069,,3516,49330,813,2112,719,3916,117,510,2035,1100,1
5076,,3601,49660,813,2131,723,3924,117,513,2035,1100,1
5083,,3686,50380,813,2150,726,3932,117,516,2035,1100,1
5090,,3771,51100,813,2169,730,3939,118,519,2035,1100,1
5097,,3857,51820,813,2188,734,3947,118,522,2035,1100,1
5104,,3940,52541,813,2207,738,3954,118,525,2035,1100,1
5111,,4024,53261,813,2226,741,3961,119,528,2035,1100,1
5117,,4116,53981,813,2246,745,3968,119,531,2035,1100,1
5124,,4208,54701,813,2265,749,3975,119,534,2035,1100,1
5131,,4300,55064,813,2284,752,3982,120,536,2035,1100,1
5138,,4392,55426,813,2303,756,3989,120,538,2035,1100,1
5145,,4484,55789,813,2322,760,3995,131,540,2035,1100,1
5152,,4515,56152,813,2341,764,4002,141,542,2035,1100,1
5159,,4546,56514,813,2360,767,4008,152,544,2035,1100,1
5166,,4630,56877,813,2379,771,4015,162,546,2035,1100,1
5172,,4714,57240,813,2399,775,4021,173,548,2035,1100,1
5179,,4799,57771,813,2418,779,4027,183,550,2035,1100,1
5186,,4883,58303,813,2437,782,4033,194,552,2035,1100,1
5193,,4968,58835,813,2456,786,4039,204,555,2035,1100,1
5200,,4968,59367,813,2475,790,4045,215,557,2035,1100,1
5205,,4968,59899,813,2494,793,4051,225,559,2035,1100,1
5211,,4968,60431,813,2513,797,4057,236,561,2035,1100,1
5216,,4968,61508,813,2532,801,4062,246,564,2035,1100,1
5222,,4968,62586,813,2552,805,4068,257,567,2035,1100,1
5227,,4968,63663,813,2571,808,4073,267,570,2035,1100,1
5233,,4968,64740,813,2590,812,4079,278,573,2035,1100,1
5238,,4968,65818,813,2609,816,4084,288,576,2035,1100,1
5244,,4968,66895,813,2628,820,4089,299,579,2035,1100,1
5249,,4968,67973,813,2647,823,4094,309,582,2035,1100,1
5255,,4968,69050,813,2666,827,4099,320,584,2035,1100,2
5260,,4968,69532,813,2685,831,4104,330,587,2035,1100,2
5266,,4968,70014,813,2704,834,4109,341,589,2035,1100,2
5271,,4968,70497,813,2724,838,4114,351,591,2035,1100,2
5277,,4968,70979,813,2743,842,4119,362,593,2035,1100,2
5282,,4968,71461,813,2762,846,4124,380,596,2035,1100,2
5288,,5003,71943,813,2781,849,4128,399,598,2035,1100,2
5293,,5039,72425,813,2800,853,4133,417,602,2035,1100,2
5298,,5075,72908,813,2819,857,4137,435,606,2035,1100,2
5304,,5111,73390,813,2838,860,4142,453,610,2035,1100,2
5309,,5147,74091,813,2857,864,4146,472,614,2035,1100,2
5315,,5156,74817,813,2877,868,4150,490,617,2035,1100,2
5320,,5165,75569,813,2896,872,4155,508,621,2035,1100,2
5326,,5213,76347,813,2915,875,4159,527,625,2035,1100,2
5331,,5261,77150,813,2934,879,4163,545,629,2035,1100,3
5337,,5309,77978,813,2953,883,4167,563,637,2035,1100,3
5342,,5357,78832,813,2979,887,4171,581,645,2035,1100,3
5348,,5406,79712,813,3005,890,4175,600,652,2035,1100,3
5353,,5425,80617,813,3031,894,4178,618,660,2035,1100,3
5359,,5444,81547,813,3057,898,4182,636,668,2035,1100,3
5364,,5490,82503,813,3083,901,4186,655,676,2035,1100,3
5370,,5536,83484,813,3109,905,4190,673,682,2035,1100,3
5375,,5582,84491,813,3135,909,4193,691,689,2035,1100,3
5381,,5628,85524,813,3161,913,4197,709,695,2035,1100,3
5386,,5674,86582,813,3187,916,4200,728,702,2035,1100,3
5392,,5830,87665,813,3213,920,4204,746,708,2035,1100,4
5397,,5987,88774,813,3239,924,4207,795,715,2035,1100,4
5442,,6000,89908,813,3265,928,4211,843,721,2035,1100,4
5486,,6014,91068,813,3291,931,4214,892,733,2035,1100,4
5531,,6027,92253,813,3317,935,4217,940,744,2035,1100,4
5576,,6041,93464,813,3343,939,4220,989,756,2035,1100,4
5621,,6055,94701,813,3369,942,4223,1024,768,2035,1100,4
5665,,6100,95962,813,3395,946,4227,1059,780,2035,1100,4
5710,,6145,97250,813,3421,950,4230,1094,791,2035,1100,4
5755,,6191,98563,813,3447,954,4233,1128,803,2035,1100,5
5800,,6236,99901,813,3473,957,4236,1163,813,2035,1100,5
5844,,6282,101265,813,3499,961,4239,1198,822,2035,1100,5
5889,,6327,102654,813,3524,965,4241,1233,832,2035,1100,5
5896,,6373,104069,813,3550,969,4244,1259,841,2035,1100,5
5903,,6448,105509,813,3576,972,4247,1285,851,2035,1100,5
5910,,6523,106975,813,3602,976,4250,1311,860,2035,1100,5
5917,,6598,108466,813,3628,980,4252,1338,870,2035,1100,6
5924,,6674,109983,813,3654,983,4255,1364,879,2035,1100,6
5931,,6749,111525,813,3680,987,4258,1390,887,2035,1100,6
5938,,6824,113093,813,3706,991,4260,1416,896,2035,1100,6
5945,,6900,114686,813,3732,995,4263,1447,904,2035,1100,6
5952,,6996,116305,813,3758,998,4265,1478,913,2035,1100,6
5959,,7092,117949,813,3784,1002,4268,1509,921,2035,1100,6
5966,,7188,119618,813,3810,1006,4270,1541,930,2035,1100,6
5973,,7284,121314,813,3836,1009,4273,1572,944,2035,1100,6
5980,,7380,123034,813,3862,1013,4275,1603,958,2035,1100,7
5987,,7476,124780,813,3888,1017,4277,1634,972,2035,1100,7
5994,,7573,126552,813,3914,1021,4280,1647,986,2035,1100,7
6001,,7618,128349,813,3940,1024,4282,1660,1000,2035,1100,7
6008,,7663,130172,813,3966,1028,4284,1673,1014,2035,1100,7
6015,,7708,132020,813,3992,1032,4286,1686,1028,2035,1100,7
6022,,7753,133894,813,4018,1036,4289,1699,1041,2035,1100,7
6029,,7798,135793,813,4044,1039,4291,1712,1053,2035,1100,8
6036,,7843,137717,813,4070,1043,4293,1725,1066,2035,1100,8
6043,,7889,139667,813,4096,1047,4295,1738,1079,2035,1100,8
6050,,7936,141643,813,4115,1050,4297,1751,1092,2035,1100,8
6057,,7983,143644,813,4133,1054,4299,1764,1104,2035,1100,8
6064,,8030,145671,813,4152,1058,4301,1777,1117,2035,1100,8
6071,,8078,147723,813,4171,1062,4303,1790,1130,2035,1100,8
6078,,8125,149899,813,4189,1065,4305,1801,1143,2035,1100,8
6085,,8172,152044,813,4208,1069,4306,1811,1156,2035,1100,8
6092,,8220,154159,813,4227,1073,4308,1822,1170,2035,1100,9
6099,,8247,156244,813,4246,1077,4310,1832,1183,2035,1100,9
6106,,8275,158300,813,4264,1080,4312,1843,1196,2035,1100,9
6113,,8303,160326,813,4283,1084,4314,1853,1209,2035,1100,9
6120,,8330,162324,813,4302,1088,4315,1864,1219,2035,1100,9
6127,,8358,164294,813,4320,1091,4317,1874,1228,2035,1100,9
6134,,8386,166236,813,4339,1095,4319,1885,1238,2035,1100,9
6141,,8414,168150,813,4358,1099,4321,1888,1248,2035,1100,10
6148,,8444,170037,813,4376,1103,4322,1891,1258,2035,1100,10
6155,,8474,171898,813,4395,1106,4324,1895,1267,2035,1100,10
6162,,8504,173732,813,4414,1110,4325,1898,1277,2035,1100,10
6169,,8535,175540,813,4433,1114,4327,1901,1286,2035,1100,10
6176,,8565,177323,813,4451,1118,4328,1904,1295,2035,1100,10
6183,,8595,179081,813,4470,1121,4330,1907,1304,2035,1100,10
6190,,8626,180813,813,4489,1125,4331,1911,1312,2035,1100,10
6197,,8650,182522,813,4507,1129,4333,1914,1321,2035,1100,10
6204,,8674,184206,813,4526,1132,4334,1917,1330,2035,1100,11
6211,,8698,185866,813,4545,1136,4336,1920,1339,2035,1100,11
6218,,8722,187502,813,4563,1140,4337,1924,1345,2035,1100,11
6225,,8746,189116,813,4582,1144,4339,1927,1352,2035,1100,11
6232,,8770,190707,813,4601,1147,4340,1930,1358,2035,1100,11
6239,,8795,192275,813,4620,1151,4341,1933,1365,2035,1100,11
6246,,8819,193821,813,4638,1155,4343,1936,1371,2035,1100,11
6253,,8843,195345,813,4657,1158,4344,1940,1378,2035,1100,12
6260,,8868,196848,813,4676,1162,4345,1943,1384,2035,1100,12
6267,,8892,198329,813,4694,1166,4346,1946,1392,2035,1100,12
6274,,8917,199790,813,4713,1170,4348,1949,1400,2035,1100,12
6281,,8941,201230,813,4732,1173,4349,1952,1408,2035,1100,12
6288,,8966,202649,813,4750,1177,4350,1956,1416,2035,1100,12
6295,,8994,204048,813,4769,1181,4351,1959,1424,2035,1100,12
6302,,9022,205428,813,4788,1185,4353,1962,1432,2035,1100,12
6309,,9050,206788,813,4807,1188,4354,1965,1440,2035,1100,12
6316,,9078,208129,813,4825,1192,4355,1968,1449,2035,1100,13
6323,,9106,209451,813,4844,1196,4356,1972,1459,2035,1100,13
6330,,9134,210754,813,4863,1199,4357,1975,1468,2035,1100,13
6337,,9162,212039,813,4881,1203,4358,1978,1478,2035,1100,13
6344,,9191,213305,813,4900,1207,4359,1981,1487,2035,1100,13
6351,,9220,214554,813,4917,1211,4360,1984,1497,2035,1100,13
6358,,9249,215785,813,4934,1214,4361,1988,1506,2035,1100,13
6365,,9278,216999,813,4950,1218,4362,1991,1514,2035,1100,14
6372,,9307,218195,813,4967,1222,4363,1994,1522,2035,1100,14
6379,,9336,219375,813,4984,1226,4364,1997,1530,2035,1100,14
6386,,9365,220537,813,5001,1229,4365,2001,1539,2035,1100,14
6393,,9397,221684,813,5001,1233,4366,2004,1547,2035,1100,14
6400,,9429,222814,813,5001,1237,4367,2007,1555,2035,1100,14
6407,,9461,223928,813,5001,1240,4368,2010,1563,2035,1100,14
6414,,9493,225027,813,5001,1244,4369,2013,1572,2035,1100,14
6421,,9525,226109,813,5001,1248,4369,2017,1581,2035,1100,14
6428,,9557,227177,813,5001,1252,4369,2020,1590,2035,1100,15
6435,,9589,228230,813,5001,1255,4369,2023,1598,2035,1100,15
6443,,9618,229267,813,5001,1259,4369,2026,1607,2035,1100,15
6451,,9647,230290,813,5001,1263,4369,2029,1616,2035,1100,15
6459,,9676,231299,813,5001,1267,4369,2033,1625,2035,1100,15
6466,,9705,232293,813,5001,1270,4369,2036,1631,2035,1100,15
6474,,9734,233273,813,5001,1274,4369,2039,1636,2035,1100,15
6482,,9763,234239,813,5001,1278,4369,2042,1642,2035,1100,16
6490,,9792,235192,813,5001,1281,4369,2045,1648,2035,1100,16
6498,,9816,236131,813,5001,1285,4369,2049,1654,2035,1100,16
6506,,9840,237057,813,5001,1289,4369,2052,1659,2035,1100,16
6514,,9864,237970,813,5001,1293,4369,2055,1665,2035,1100,16
6522,,9888,238870,813,5001,1296,4369,2058,1675,2035,1100,16
6529,,9912,239757,813,5001,1300,4369,2061,1686,2035,1100,16
6537,,9936,240631,813,5001,1304,4369,2065,1696,2035,1100,16
6545,,9961,241493,813,5001,1307,4369,2068,1706,2035,1100,16
6553,,9992,242344,813,5001,1311,4369,2071,1716,2035,1100,17
6561,,10023,243182,813,5001,1315,4369,2074,1727,2035,1100,17
6569,,10054,244008,813,5001,1319,4369,2078,1737,2035,1100,17
6577,,10085,244822,813,5001,1322,4369,2081,1743,2035,1100,17
6585,,10116,245625,813,5001,1326,4369,2084,1750,2035,1100,17
6592,,10147,246417,813,5001,1330,4369,2087,1756,2035,1100,17
6600,,10179,247197,813,5001,1334,4369,2090,1763,2035,1100,17
6608,,10197,247967,813,5001,1337,4369,2094,1769,2035,1100,18
6616,,10216,248725,813,5001,1341,4369,2097,1776,2035,1100,18
6624,,10235,249473,813,5001,1345,4369,2100,1782,2035,1100,18
6632,,10254,250210,813,5001,1348,4369,2103,1791,2035,1100,18
6640,,10273,250937,813,5001,1352,4369,2106,1799,2035,1100,18
6647,,10292,251653,813,5001,1356,4369,2110,1808,2035,1100,18
6655,,10311,252360,813,5001,1360,4369,2113,1817,2035,1100,18
6663,,10338,253056,813,5001,1363,4369,2116,1826,2035,1100,18
6671,,10350,253742,813,5001,1367,4369,2119,1834,2035,1100,18
6679,,10366,254419,813,5001,1371,4369,2122,1843,2035,1100,19
6687,,10382,255087,813,5001,1375,4369,2126,1849,2035,1100,19
6695,,10398,255744,813,5001,1378,4369,2129,1856,2035,1100,19
6703,,10445,256393,813,5001,1382,4369,2132,1862,2035,1100,19
6710,,10445,257032,813,5001,1386,4369,2135,1869,2035,1100,19
6718,,10462,257662,813,5001,1389,4369,2138,1875,2035,1100,19
6726,,10484,258284,813,5001,1393,4369,2142,1882,2035,1100,19
6734,,10506,258896,813,5001,1397,4369,2145,1888,2035,1100,20
6742,,10528,259500,813,5001,1401,4369,2148,1894,2035,1100,20
6750,,10550,260096,813,5001,1404,4369,2151,1900,2035,1100,20
6758,,10573,260683,813,5001,1408,4369,2155,1905,2035,1100,20
6766,,10573,261261,813,5001,1412,4369,2158,1911,2035,1100,20
6773,,10584,261832,813,5001,1416,4369,2161,1917,2035,1100,20
6781,,10587,262394,813,5001,1419,4369,2164,1922,2035,1100,20
6789,,10592,262949,813,5001,1423,4369,2167,1928,2035,1100,20
6797,,10598,263495,813,5001,1427,4369,2171,1934,2035,1100,20
6800,,10604,264034,813,5001,1430,4369,2174,1943,2035,1100,21
6802,,10611,264565,813,5001,1434,4369,2177,1951,2035,1100,21
6805,,10689,265089,813,5001,1438,4369,2180,1960,2035,1100,21
6808,,10699,265606,813,5001,1442,4369,2183,1969,2035,1100,21
6811,,10702,266115,813,5001,1445,4369,2186,1977,2035,1100,21
6813,,10715,266616,813,5001,1449,4369,2189,1986,2035,1100,21
6816,,10721,267111,813,5001,1453,4369,2193,1992,2035,1100,21
6819,,10814,267599,813,5001,1456,4369,2196,1999,2035,1100,22
6821,,10820,268080,813,5001,1460,4369,2199,2005,2035,1100,22
6824,,10824,268554,813,5001,1464,4369,2202,2012,2035,1100,22
6827,,10833,269021,813,5001,1468,4369,2205,2018,2035,1100,22
6830,,10842,269482,813,5001,1471,4369,2208,2025,2035,1100,22
6832,,10863,269936,813,5001,1475,4369,2211,2031,2035,1100,22
6835,,10884,270384,813,5001,1479,4369,2214,2036,2035,1100,23
6838,,10887,270825,813,5001,1483,4369,2217,2040,2035,1100,23
6840,,10890,271261,813,5001,1486,4369,2221,2045,2035,1100,23
6843,,10892,271690,813,5001,1490,4369,2224,2050,2035,1100,24
6846,,10893,272113,813,5001,1494,4369,2227,2055,2035,1100,24
6849,,10894,272530,813,5001,1497,4369,2230,2059,2035,1100,24
6851,,10895,272941,813,5001,1501,4369,2233,2064,2035,1100,25
6854,,10980,273346,813,5001,1505,4369,2236,2068,2035,1100,25
6857,,11006,273746,813,5001,1509,4369,2239,2071,2035,1100,25
6859,,11007,274140,813,5001,1512,4369,2242,2075,2035,1100,26
6862,,11007,274528,813,5001,1516,4369,2245,2079,2035,1100,26
6865,,11026,274911,813,5001,1520,4369,2249,2083,2035,1100,26
6868,,11045,275288,813,5001,1524,4369,2252,2086,2035,1100,27
6870,,11064,275660,813,5001,1527,4369,2255,2090,2035,1100,27
6873,,11065,276027,813,5001,1531,4369,2258,2094,2035,1100,27
6876,,11068,276389,813,5001,1535,4369,2261,2097,2035,1100,28
6878,,11072,276746,813,5001,1538,4369,2264,2101,2035,1100,28
6881,,11074,277097,813,5001,1542,4369,2267,2104,2035,1100,28
6884,,11088,277444,813,5001,1546,4369,2270,2108,2035,1100,29
6887,,11102,277785,813,5001,1550,4369,2273,2111,2035,1100,29
6889,,11117,278122,813,5001,1553,4369,2277,2115,2035,1100,29
6892,,11120,278454,813,5001,1557,4369,2280,2118,2035,1100,30
6895,,11121,278781,813,5001,1561,4369,2283,2120,2035,1100,30
6897,,11122,279104,813,5001,1565,4369,2286,2123,2035,1100,30
6900,,11125,279422,813,5001,1568,4369,2289,2125,2035,1100,30
6903,,11127,279736,813,5001,1572,4369,2292,2128,2035,1100,31
6906,,11129,280045,813,5001,1576,4369,2295,2130,2035,1100,31
6908,,11131,280350,813,5001,1579,4369,2298,2133,2035,1100,31
6911,,11134,280650,813,5001,1583,4369,2301,2135,2035,1100,32
6914,,11137,280947,813,5001,1587,4369,2305,2137,2035,1100,32
6916,,11140,281239,813,5001,1591,4369,2308,2139,2035,1100,32
6919,,11142,281527,813,5001,1594,4369,2311,2140,2035,1100,33
6922,,11143,281811,813,5001,1598,4369,2314,2142,2035,1100,33
